id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,conc_norm,inflow
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08390409366,0.09390409366
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.01,-1.248988571,1.258988571
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,2.151750578,1.7286304117000002,0.4231201663
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.577,0.5259040936599999,1.05109590634
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.539,-0.606,1.145
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1063500079,0.012445914240000008,0.09390409366
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,1.551119152,0.2921305810000001,1.258988571
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.4633052328,0.04018506650000003,0.4231201663
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.43264999210000005,-0.6184459142400001,1.05109590634
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.92,-0.22499999999999998,1.145
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08390409366,0.09390409366
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.01,-1.248988571,1.258988571
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.8692752871,0.4461551208,0.4231201663
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.91,-0.14109590634000002,1.05109590634
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.443,-0.702,1.145
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08390409366,0.09390409366
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.878276458,-0.38071211299999996,1.258988571
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.4365712346,0.013451068300000035,0.4231201663
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.433,-0.61809590634,1.05109590634
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.533,-0.612,1.145
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.07283164628,-0.021072447379999998,0.09390409366
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.09468481985,0.01052434457000001,0.08416047528
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.8292739088,-0.4297146622,1.258988571
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.5498964848,0.12677631849999998,0.4231201663
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.46016835372000003,-0.59092755262,1.05109590634
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.504,-0.641,1.145
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.0994356111,0.005531517440000008,0.09390409366
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.7859255,-0.4730630709999999,1.258988571
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.5184546127,0.09533444640000005,0.4231201663
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.4045643889,-0.64653151744,1.05109590634
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.388,-0.757,1.145
