id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,fdom_conc_norm,inflow
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0902454398599073,Tyrosine,Proteinaceous,0.051636356875565496,0.0386090829843418
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.00607299841421672,Visible-Humic,Humic,0.0025383703806569203,0.0035346280335598
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.0141383098194434,Marine Humic,Humic,0.00584255439305802,0.00829575542638538
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.112401389649781,Tryptophan,Proteinaceous,0.06380081959107309,0.0486005700587079
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.429542038035195,m_to_c,Humic,0.003465345571768974,0.426076692463426
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,1.10544232504663,bix,Humic,0.600710284741032,0.504732040305598
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.263913512225075,hix,Humic,-0.14623786281912204,0.410151375044197
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.00508427941616261,Phenylalanine,Proteinaceous,-0.030517817104103992,0.0356020965202666
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,2.19204824425479,Fluvic Acid,Humic,0.6018462713860999,1.59020197286869
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.0314583355953983,lignin,Other,0.009256028160603398,0.0222023074347949
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.00615935701827658,UV-Humic,Humic,-9.847076389350399e-4,0.00714406465721162
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0582300073973647,Tyrosine,Proteinaceous,0.0196209244130229,0.0386090829843418
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.00463336603630153,Visible-Humic,Humic,0.0010987380027417302,0.0035346280335598
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.0086108509646838,Marine Humic,Humic,3.1509553829841934e-4,0.00829575542638538
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0618829090824658,Tryptophan,Proteinaceous,0.013282339023757896,0.0486005700587079
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.538084569725412,m_to_c,Humic,0.11200787726198597,0.426076692463426
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,0.944571048401857,bix,Humic,0.439839008096259,0.504732040305598
