id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,outlier,conc_norm
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,2.052452924,not outlier,0.8832654046470587
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,1.110133478,not outlier,0.6394441691777779
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.8508240149999999,not outlier,-0.24691111892055573
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.587,not outlier,0.3933888888888888
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,not outlier,-0.08587597719055555
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.01,not outlier,-1.159187519352941
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,2.151750578,not outlier,1.681061269177778
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.577,not outlier,0.4792648660794443
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.539,not outlier,-0.6546111111111111
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1063500079,not outlier,0.010474030709444457
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,1.551119152,not outlier,0.381931632647059
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.4633052328,not outlier,-0.007384076022222186
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.43264999210000005,not outlier,-0.6650851418205557
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.92,not outlier,-0.27361111111111114
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,not outlier,-0.08587597719055555
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
