id_number,tank_number,treatment,inflow_table,date_time,date,time,date_string,time_string,date_time_string,residence_time,flowrate,variable,value,variable_cat,outlier,conc_norm,areal_flux
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,coble_c,0.00585434493565206,fDOM,not outlier,0.00145133924489433,3.726895838740995e-5
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,coble_m,0.0101728636907881,fDOM,not outlier,9.933799863195581e-4,2.550901693265038e-5
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,coble_t,0.0821615539097586,fDOM,not outlier,0.029860627655467598,7.667914262144765e-4
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,m_to_c,1.737660456054942,fDOM,not outlier,-0.39035059056885024,-0.010023817634360598
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,bix,1.04774754070578,fDOM,not outlier,0.45882298317343095,0.011782121049391808
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,hix,0.257161768669714,fDOM,not outlier,-0.14948237918339252,-0.0038385598605118077
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,fpeak,0.0358451535408891,fDOM,not outlier,0.002484014177816102,6.378703073898138e-5
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,fi,2.06276625464932,fDOM,not outlier,0.34589920621457515,0.008882349986744646
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,lignin,0.0590873668425802,fDOM,not outlier,0.025066917771735253,6.436936909285101e-4
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,N_N,1.332,nutrients,not outlier,0.12450000000000006,0.003197037037037038
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02,12:00:00,2024-06-02 12:00:00,7692.307692307692,1.3,NO2,0.1264346843,nutrients,not outlier,0.029995311814999995,7.702499824098763e-4
