Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
470	275.26	-5.93459958306657
470	279.76	-14.0117992258753
470	284.264	18.5662519561389
470	288.772	-6.91946731383037
470	293.283	-18.0082688606901
470	297.797	9.86462048453257
470	302.315	2.47682475708775
470	306.837	-14.8210347711103
470	311.362	9.19476846756902
470	315.89	-13.4420692763391
470	320.422	9.65114811875769
470	324.958	-4.86203221539594
470	329.496	-3.76903847078734
470	334.038	2.60645074987039
470	338.584	11.8302628097867
470	343.133	-13.4716691715301
470	347.685	2.3729129102908
470	352.24	21.1723196066497
470	356.799	-6.0822549346591
470	361.361	-1.95940291996458
470	365.926	6.63463799228591
470	370.495	-1.21750497789824
470	375.067	8.01625756706833
470	379.641	-3.04368582127655
470	384.219	2.55209830536089
470	388.801	-11.2218929486823
470	393.385	7.30236053645085
470	397.972	4.15648816271077
470	402.562	-12.7923047041403
470	407.156	8.32397035224445
470	411.752	-7.21309038748324
470	416.352	4.02820266286591
470	420.954	6.01397642023597
470	425.56	5.53154053081825
470	430.168	4.15871824760925
470	434.779	3.42370321532896
470	439.393	8.77373640452285
470	444.01	-1.966553613535
470	448.63	-2.79868526786193
470	453.253	8.75513931833198
470	457.878	7.47474724131163
470	462.506	-9.1941601892255
470	467.137	-140.057851042108
470	471.771	-7.97368627732612
470	476.407	-74.1352837234545
470	481.047	-8.91099359274136
470	485.688	2.6186780033658
470	490.333	9.69967377916652
470	494.979	10.6851402298678
470	499.629	-5.73192269668156
470	504.281	-8.68726531483691
470	508.936	-16.1412539276901
470	513.593	11.8261995102774
470	518.252	4.67409464774911
470	522.914	3.68436903714731
470	527.579	0.959997860148283
470	532.245	-2.88910820533222
470	536.915	-5.33797716586634
470	541.586	-9.16346239014515
470	546.26	8.3917113625065
470	550.936	-1.3419484115452
470	555.615	-8.50497463847432
470	560.296	-3.05352728841405
470	564.979	3.99311549884482
470	569.664	11.8442862704777
470	574.351	-7.53109449822314
470	579.04	0.342149691671027
470	583.732	11.9824173071595
470	588.426	0.870656928384571
470	593.121	-6.66695182837876
470	597.819	-8.29603906856005
470	602.519	0.533004496202868
470	607.221	-86.700456639593
470	611.924	1.08754539545148
470	616.63	-6.59858368356521
470	621.338	8.49477213265828
470	626.047	-7.27266302961027
470	630.758	-5.46507407877047
470	635.471	3.22796066611693
470	640.186	7.60996793501951
470	644.903	-1.34742661139827
470	649.621	-4.48741480690783
470	654.341	0.198158290363212
470	659.063	-10.9921296631498
470	663.787	6.89040755433124
470	668.512	10.0088956839764
470	673.238	9.04062094022904
470	677.967	-10.3484233499911
470	682.696	21.134452286871
470	687.428	8.85184482953036
470	692.16	3.81326209533746
470	696.895	-15.9992284967819
470	701.63	-6.66908981475749
470	706.367	-1.95897901542888
470	711.106	11.2187844790075
470	715.845	-0.889750201387111
470	720.586	-1.33788944476083
470	725.329	8.13021275692594
470	730.072	9.54334348060413
470	734.817	21.5098299202538
470	739.563	7.40808214940385
470	744.31	3.97848874489868
470	749.058	-9.21865209719816
470	753.808	-14.2153796386326
470	758.558	-0.242809459549376
470	763.31	-5.00539223429998
470	768.062	-2.52532865471953
470	772.815	-5.55207696881096
470	777.57	-14.164678565541
470	782.325	-26.6735420294917
470	787.081	15.8416065893544
470	791.838	-7.24549232352004
470	796.596	-6.01049736439487
470	801.355	-10.8506265754828
470	806.114	-14.388678964023
470	810.875	11.3225615743614
470	815.635	13.9185234657354
470	820.397	6.60576676591159
470	825.159	11.0873697546669
465	248.336	6.03771819071809
465	252.814	4.48126327178999
465	257.296	3.44811841706408
465	261.781	-3.7639008233578
465	266.271	2.28755920575019
465	270.764	8.66173377287232
465	275.26	-8.98236192980784
465	279.76	-5.56494410883113
465	284.264	4.39356985885224
465	288.772	2.40714093853513
465	293.283	-6.68767641229378
465	297.797	12.7463460057745
465	302.315	-4.37240519487644
465	306.837	-6.53972955353517
465	311.362	1.77533342556189
465	315.89	7.11361246407226
465	320.422	25.7536451842165
465	324.958	9.40970346248148
465	329.496	19.1303228119839
465	334.038	11.3057643427789
465	338.584	-3.54769271137133
465	343.133	-1.45724577874137
465	347.685	-0.00363489976251064
465	352.24	15.9330138179913
465	356.799	-2.58269961328573
465	361.361	-6.26690005571699
465	365.926	-9.33010300491606
465	370.495	1.72039721543658
465	375.067	2.14934966032078
465	379.641	-12.4005826664714
465	384.219	5.31424676512203
465	388.801	5.94641006280709
465	393.385	13.4609743707909
465	397.972	5.68269887697624
465	402.562	-9.3539970051611
465	407.156	-11.0215906034849
465	411.752	-10.6697857176034
465	416.352	-0.17079737740494
465	420.954	-8.96728138518656
465	425.56	9.26285774581902
465	430.168	7.15130093253186
465	434.779	-0.0713226952818147
465	439.393	4.16622957278193
465	444.01	6.30687732638934
465	448.63	0.206189543306209
465	453.253	16.8749063594192
465	457.878	7.33715543524761
465	462.506	-1.58490536601403
465	467.137	-14.9849292782565
465	471.771	-32.7781247478279
465	476.407	-5.96125544098265
465	481.047	2.83286918330401
465	485.688	5.75847712200232
465	490.333	7.37872652935635
465	494.979	-1.18737668740928
465	499.629	0.847773413718349
465	504.281	-8.8466493657025
465	508.936	0.123461952639595
465	513.593	-4.44891118606846
465	518.252	-3.42964857292153
465	522.914	7.34133936350282
465	527.579	4.65998685884586
